word,level,pos
accident,A2,noun
achieve,A2,verb
addition,A2,noun
admit,A2,verb
adult,A2,noun
adventure,A2,noun
advertisement,A2,noun
advertising,A2,noun
advice,A2,noun
advise,A2,verb
affair,A2,noun
agent,A2,noun
aisle,A2,noun
alarm clock,A2,noun
alright,A2,adverb
although,A2,conjunction
ambition,A2,noun
amusement,A2,noun
annoy,A2,verb
another,A2,pronoun
apartment,A2,noun
apologize,A2,verb
apologise,A2,verb
appointment,A2,noun
area,A2,noun
argue,A2,verb
armchair,A2,noun
as,A2,conjunction
assistant,A2,adjective
association,A2,noun
atom,A2,noun
attempt,A2,noun
attitude,A2,noun
author,A2,noun
average,A2,noun
avoid,A2,verb
badminton,A2,noun
bake,A2,verb
balcony,A2,noun
bank,A2,verb
banking,A2,noun
barbecue,A2,noun
barber,A2,noun
batch,A2,noun
beauty,A2,noun
been,A2,verb
before,A2,conjunction
beg,A2,verb
beginner,A2,noun
behavior,A2,noun
behaviour,A2,noun
being,A2,noun
belly,A2,noun
bill,A2,noun
bit,A2,noun
blackboard,A2,noun
blame,A2,verb
bloom,A2,noun
board game,A2,noun
bookcase,A2,noun
bookshop,A2,noun
boss,A2,noun
bra,A2,noun
brainstorm,A2,noun
branch,A2,noun
brand,A2,noun
breeze,A2,noun
bride,A2,noun
brown,A2,noun
budget,A2,noun
bulb,A2,noun
bus station,A2,noun
bus stop,A2,noun
bush,A2,noun
businessman,A2,noun
businesswoman,A2,noun
cab,A2,noun
cafeteria,A2,noun
calendar,A2,noun
camp,A2,verb
camping,A2,noun
can,A2,noun
capital letter,A2,noun
captain,A2,noun
car park,A2,noun
carrot,A2,noun
cash,A2,noun
castle,A2,noun
center,A2,noun
centre,A2,noun
centimeter,A2,noun
centimetre,A2,noun
century,A2,noun
cereal,A2,noun
chairman,A2,noun
champagne,A2,noun
chapter,A2,noun
chart,A2,noun
chef,A2,noun
cheque,A2,noun
chili,A2,noun
chilli,A2,noun
chimpanzee,A2,noun
chin,A2,noun
citizen,A2,noun
classical music,A2,noun
cleaner,A2,noun
clone,A2,verb
clue,A2,noun
coast,A2,noun
colorful,A2,adjective
colourful,A2,adjective
consist,A2,verb
cooler,A2,noun
criticize,A2,verb
criticise,A2,verb
curse,A2,noun
department store,A2,noun
depend,A2,verb
digital camera,A2,noun
done,A2,verb
downtown,A2,adverb
draw,A2,noun
drill,A2,noun
driver's license,A2,noun
driving licence,A2,noun
drugstore,A2,noun
elevator,A2,noun
enough,A2,pronoun
except,A2,conjunction
express,A2,noun
fancy,A2,adjective
fast food,A2,noun
favor,A2,noun
favour,A2,noun
first name,A2,noun
fix,A2,noun
flea,A2,noun
float,A2,noun
for,A2,conjunction
frank,A2,adjective
front,A2,noun
fry,A2,noun
function,A2,verb
given,A2,adjective
gram,A2,noun
gramme,A2,noun
grocery store,A2,noun
half,A2,determiner
half,A2,pronoun
half-price,A2,adverb
handicapped,A2,adjective
hey,A2,interjection
high school,A2,noun
hip hop,A2,noun
hip-hop,A2,noun
hiphop,A2,noun
honor,A2,noun
honour,A2,noun
hunter,A2,noun
ID card,A2,noun
jelly,A2,noun
kilogram,A2,noun
kilogramme,A2,noun
kilometer,A2,noun
kilometre,A2,noun
kindly,A2,adjective
labor,A2,noun
labour,A2,noun
lack,A2,noun
last,A2,determiner
last,A2,pronoun
latter,A2,adverb
latter,A2,pronoun
license,A2,verb
licence,A2,verb
liter,A2,noun
litre,A2,noun
lot,A2,noun
lyric,A2,adjective
main course,A2,noun
marvelous,A2,adjective
marvellous,A2,adjective
max,A2,noun
meter,A2,noun
metre,A2,noun
middle,A2,noun
might,A2,modal auxiliary
mineral water,A2,noun
mobile,A2,adjective
MP3 player,A2,noun
Ms.,A2,noun
Ms,A2,noun
next,A2,determiner
next to,A2,preposition
no one,A2,pronoun
olive oil,A2,noun
Olympic,A2,adjective
omelet,A2,noun
omelette,A2,noun
organize,A2,verb
organise,A2,verb
organized,A2,adjective
organised,A2,adjective
out of,A2,preposition
overseas,A2,adverb
own,A2,pronoun
pacific,A2,adjective
pal,A2,noun
penfriend,A2,noun
pen friend,A2,noun
petrol station,A2,noun
pilgrim,A2,noun
pleasing,A2,adjective
plenty,A2,noun
police officer,A2,noun
police station,A2,noun
post office,A2,noun
pro,A2,noun
realize,A2,verb
realise,A2,verb
refer,A2,verb
robin,A2,noun
rumor,A2,noun
rumour,A2,noun
schoolwork,A2,noun
screw,A2,noun
seafood,A2,noun
seaside,A2,noun
second,A2,pronoun
seem,A2,verb
semester,A2,noun
senior,A2,noun
several,A2,pronoun
shall,A2,modal auxiliary
shop assistant,A2,noun
short,A2,noun
shorts,A2,noun
sitting room,A2,noun
sleepless,A2,adjective
slide,A2,noun
soda,A2,noun
soft drink,A2,noun
sound,A2,verb
spaceship,A2,noun
spaghetti,A2,noun
split,A2,adjective
sports center,A2,noun
sports centre,A2,noun
stair,A2,noun
stove,A2,noun
sunflower,A2,noun
superstar,A2,noun
swimming costume,A2,noun
swimsuit,A2,noun
symphony,A2,noun
table tennis,A2,noun
tablespoon,A2,noun
tape,A2,noun
terrorist,A2,adjective
text message,A2,noun
third,A2,adjective
though,A2,conjunction
tour guide,A2,noun
toward,A2,preposition
towards,A2,preposition
traffic light,A2,noun
traveler,A2,noun
traveller,A2,noun
uniform,A2,adjective
unlike,A2,adjective
video game,A2,noun
washing machine,A2,noun
web page,A2,noun
weep,A2,noun
while,A2,conjunction
worldwide,A2,adverb
yeah,A2,adverb
'50s,A2,noun
'60s,A2,noun
'70s,A2,noun
