word,level,pos
aborigine,B1,noun
abundant,B1,adjective
accessory,B1,noun
according to,B1,preposition
account,B1,verb
accustom,B1,verb
ache,B1,noun
achievement,B1,noun
acknowledgment,B1,noun
acknowledgement,B1,noun
acquaintance,B1,noun
act,B1,verb
actress,B1,noun
ad,B1,noun
addressee,B1,noun
admiration,B1,noun
adorable,B1,adjective
advance,B1,verb
adverb,B1,noun
adverbial,B1,adjective
adviser,B1,noun
advisor,B1,noun
aerobics,B1,noun
afford,B1,verb
after,B1,conjunction
afterward,B1,adverb
agenda,B1,noun
aid,B1,verb
air conditioning,B1,noun
air force,B1,noun
airline,B1,noun
alcohol,B1,noun
allergic,B1,adjective
alphabet,B1,noun
amount,B1,noun
analyze,B1,verb
analyse,B1,verb
anger,B1,noun
angle,B1,noun
announce,B1,verb
announcement,B1,noun
annoyance,B1,noun
ant,B1,noun
anti,B1,adjective
antonym,B1,noun
ape,B1,noun
approval,B1,noun
approve,B1,verb
architect,B1,noun
arithmetic,B1,noun
arrange,B1,verb
arrest,B1,noun
arrest,B1,verb
arrival,B1,noun
artist,B1,noun
aspect,B1,noun
aspirin,B1,noun
assist,B1,verb
assistant,B1,noun
assume,B1,verb
astronomer,B1,noun
Atlantic,B1,adjective
attempt,B1,verb
attraction,B1,noun
auxiliary,B1,adjective
avenue,B1,noun
babysit,B1,verb
babysitter,B1,noun
backache,B1,noun
backpack,B1,noun
backpacker,B1,noun
backpacking,B1,noun
bacon,B1,noun
baker,B1,noun
bakery,B1,noun
bandage,B1,noun
bang,B1,noun
bank account,B1,noun
bar,B1,verb
base,B1,verb
basin,B1,noun
basis,B1,noun
beard,B1,noun
beaver,B1,noun
because of,B1,preposition
bill,B1,verb
biochemistry,B1,noun
blame,B1,noun
blend,B1,verb
blog,B1,noun
blogger,B1,noun
blush,B1,noun
board,B1,verb
bomb,B1,verb
book,B1,verb
boot,B1,noun
border,B1,noun
bore,B1,verb
boredom,B1,noun
bother,B1,noun
bowl,B1,verb
bracelet,B1,noun
brainstorming,B1,noun
branch,B1,verb
brand-new,B1,adjective
breast,B1,noun
breath,B1,noun
breathless,B1,adjective
breed,B1,verb
breeding,B1,noun
broadcast,B1,noun
broccoli,B1,noun
brotherhood,B1,noun
bubble,B1,noun
builder,B1,noun
bullet,B1,noun
bulletin,B1,noun
bump,B1,verb
bunch,B1,noun
bureau,B1,noun
bust,B1,verb
butcher,B1,noun
cabbage,B1,noun
cage,B1,noun
calculate,B1,verb
calf,B1,noun
calmness,B1,noun
camel,B1,noun
campsite,B1,noun
cancel,B1,verb
cancer,B1,noun
canteen,B1,noun
capacity,B1,noun
capsule,B1,noun
capture,B1,noun
carelessness,B1,noun
carpet,B1,noun
categorize,B1,verb
categorise,B1,verb
CD-ROM,B1,noun
celebrity,B1,noun
cell,B1,noun
central heating,B1,noun
characterize,B1,verb
characterise,B1,verb
chariot,B1,noun
chase,B1,noun
chat,B1,noun
chat show,B1,noun
check-in counter,B1,noun
check-in,B1,noun
check-in desk,B1,noun
check-in,B1,noun
checkout,B1,noun
chemist,B1,noun
chest of drawers,B1,noun
chewing gum,B1,noun
choke,B1,verb
Christian,B1,adjective
chronological,B1,adjective
chuckle,B1,noun
civilization,B1,noun
civilisation,B1,noun
claim,B1,noun
clear,B1,verb
click,B1,noun
climber,B1,noun
coast,B1,verb
coffin,B1,noun
collar,B1,noun
combination,B1,noun
combine,B1,verb
comet,B1,noun
common sense,B1,noun
complement,B1,noun
conduct,B1,noun
connection,B1,noun
connexion,B1,noun
counseling,B1,noun
counselling,B1,noun
counter,B1,verb
daisy,B1,noun
dating,B1,noun
daze,B1,noun
dazzle,B1,noun
dedicate,B1,verb
defense,B1,noun
defence,B1,noun
definite article,B1,noun
devotion,B1,noun
dial,B1,noun
dialog,B1,noun
dialogue,B1,noun
diameter,B1,noun
diaper,B1,noun
diligence,B1,noun
diligent,B1,adjective
dioxide,B1,noun
disable,B1,verb
disc jockey,B1,noun
disk jockey,B1,noun
disk,B1,noun
disc,B1,noun
distinctly,B1,adverb
doc,B1,noun
doze,B1,noun
dozen,B1,determiner
dude,B1,noun
dynasty,B1,noun
earnest,B1,adjective
easygoing,B1,adjective
easy-going,B1,adjective
eco,B1,noun
ecosystem,B1,noun
ecstasy,B1,noun
either,B1,determiner
electron,B1,noun
emphasize,B1,verb
emphasize,B1,verb
encyclopedia,B1,noun
encyclopaedia,B1,noun
endanger,B1,verb
Englishman,B1,noun
eternity,B1,noun
even,B1,adjective
evenly,B1,adverb
