word,level,pos
exude,C2,verb
headmistress,C2,noun
mien,C2,noun
timidity,C2,noun
unravel,C2,verb
concurrence,C2,noun
unpromising,C2,adjective
teem,C2,verb
marvel,C2,noun
constrained,C2,adjective
quirk,C2,verb
indignant,C2,adjective
indignantly,C2,adverb
eccentricity,C2,noun
locomotive,C2,noun
locomotion,C2,noun
individualism,C2,noun
enthuse,C2,verb
belligerent,C2,adjective
belligerence,C2,noun
stoicism,C2,noun
deliberate,C2,verb
recluse,C2,noun
reclusive,C2,adjective
metalled,C2,adjective
brief,C2,noun
oblique,C2,adjective
facsimile,C2,noun
shamble,C2,verb
whir,C2,verb
blight,C2,noun
blight,C2,verb
puritanical,C2,adjective
brood,C2,verb
brood,C2,noun
disdainful,C2,adjective
zoologist,C2,noun
zoology,C2,noun
encumbrance,C2,noun
encumber,C2,verb
hypothesize,C2,verb
hypothetical,C2,adjective
parasitic,C2,adjective
plumage,C2,noun
utilitarian,C2,adjective
predilection,C2,noun
commensurate,C2,adjective
commensurately,C2,adverb
vindicate,C2,verb
vindication,C2,noun
parable,C2,noun
poise,C2,verb
minster,C2,verb
wrack,C2,verb
ally,C2,verb
callous,C2,adjective
callously,C2,adverb
derelict,C2,adjective
derelict,C2,noun
ferocity,C2,noun
evokingly,C2,adverb
recitation,C2,noun
equable,C2,adjective
extant,C2,adjective
denunciation,C2,noun
requisition,C2,noun
substantiate,C2,verb
inscrutable,C2,adjective
stratosphere,C2,noun
indulgence,C2,noun
indulgently,C2,adverb
laudatory,C2,adjective
laud ,C2,verb
glitz,C2,noun
glitzy,C2,adjective
automate,C2,verb
apprehend,C2,verb
athleticism,C2,noun
acreage,C2,noun
affectation,C2,noun
imposition,C2,noun
stipulate,C2,verb
stipulation,C2,noun
allot,C2,verb
allotment,C2,noun
anticlimactically,C2,adverb
forfeiture,C2,noun
blitz,C2,verb
blitz,C2,noun
primeval,C2,adjective
tenacity,C2,noun
tenacious,C2,adjective
tenaciously,C2,adverb
exact,C2,verb
genomic,C2,adjective
genomically,C2,adverb
capacious,C2,adjective
utilization,C2,noun
utilisation,C2,noun
unequivocal,C2,adjective
unequivocally,C2,adverb
spontaneity,C2,noun
portraiture,C2,noun
circumnavigate,C2,verb
circumnavigation,C2,noun
liaise,C2,verb
contractual,C2,adjective
contractually,C2,adverb
repute,C2,noun
abject,C2,adjective
sheaf,C2,noun
articulation,C2,noun
articulate,C2,adjective
spurious,C2,adjective
spuriously,C2,adverb
posture,C2,verb
calorific,C2,adjective
fabulate,C2,verb
fabulation,C2,noun
octogenarian,C2,noun
voracity,C2,noun
brandish,C2,verb
repose,C2,verb
repose,C2,noun
unencumbered,C2,adjective
buffoonery,C2,noun
gauche,C2,adjective
domesticity,C2,noun
accrue,C2,verb
proliferation,C2,noun
blandishment,C2,noun
pluck,C2,noun
anthropological,C2,adjective
anthropologically,C2,adverb
carbonize,C2,verb
carbonise,C2,verb
monastic,C2,adjective
graft,C2,noun
midwifery,C2,noun
adornment,C2,noun
idle,C2,verb
conjecture,C2,verb
conjecture,C2,noun
malleable,C2,adjective
malleability,C2,noun
ore,C2,noun
gale,C2,noun
promenade,C2,noun
testimonial,C2,noun
distill,C2,verb
distillation,C2,noun
informant,C2,noun
vis-a-vis,C2,preposition
overlay,C2,verb
nostalgically,C2,adverb
grievance,C2,noun
residual,C2,adjective
physiological,C2,adjective
physiologically,C2,adverb
methodological,C2,adjective
methodologically,C2,adverb
proportional,C2,adjective
proportionally,C2,adverb
habitation,C2,noun
inartistic,C2,adjective
ornate,C2,adjective
modernism,C2,noun
presuppose,C2,verb
presupposition,C2,noun
centralized,C2,adjective
centralised,C2,adjective
transmitter,C2,noun
archival,C2,adjective
diffuse,C2,adjective
diffuse,C2,verb
egalitarian,C2,adjective
egalitarian,C2,noun
hindsight,C2,noun
materialize,C2,verb
materialise,C2,verb
materialization,C2,noun
materialisation,C2,noun
disperse,C2,verb
dispersal,C2,noun
stabilize,C2,verb
stabilise,C2,verb
pervasive,C2,adjective
pervasiveness,C2,noun
secure,C2,verb
autonomous,C2,adjective
autonomously,C2,adverb
outmoded,C2,adjective
plum,C2,adjective
notoriously,C2,adverb
notoriety,C2,noun
menial,C2,adjective
insular,C2,adjective
antidote,C2,noun
postural,C2,adjective
posturing,C2,noun
revelatory,C2,adjective
prostrate,C2,verb
prostrate,C2,adjective
haphazard,C2,adjective
haphazardly,C2,adverb
deficient,C2,adjective
deficiently,C2,adverb
delicatessen,C2,noun
muscle-bound,C2,adjective
posit,C2,verb
cocoon,C2,verb
chrysalis,C2,noun
ignominious,C2,adjective
ignominiously,C2,adverb
euphoria,C2,noun
euphoric,C2,adjective
euphorically,C2,adverb
relegate,C2,verb
treacherous,C2,adjective
treacherously,C2,adverb
treachery,C2,noun
maggot,C2,noun
palate,C2,noun
palatable,C2,adjective
hermit,C2,noun
hermetic,C2,adjective
irrelevancy,C2,noun
mariner,C2,noun
rift,C2,noun
helm,C2,noun
autopilot,C2,noun
eminence,C2,noun
preeminent,C2,adjective
mold,C2,verb
mould,C2,verb
unsuspected,C2,adjective
paralyzingly,C2,adverb
paralysingly,C2,adverb
glory in,C2,verb
decentralize,C2,verb
decentralise,C2,verb
preoccupation,C2,noun
audit,C2,verb
drudgery,C2,noun
pressurize,C2,verb
pressurization,C2,noun
intermediary,C2,noun
hotelier,C2,noun
denote,C2,verb
denotation,C2,noun
profitability,C2,noun
declination,C2,noun
spatial,C2,adjective
spatially,C2,adverb
extracurricular,C2,adjective
extracurricular,C2,noun
all-encompassing,C2,adjective
frolic,C2,verb
minefield,C2,noun
side-step,C2,verb
abundantly,C2,adverb
anarchic,C2,adjective
crystallization,C2,noun
crystallisation,C2,noun
prescriptive,C2,adjective
slab,C2,noun
retrospective,C2,adjective
retrospection,C2,noun
wordage,C2,noun
brevity,C2,noun
uncanny,C2,adjective
tactically,C2,adverb
gambit,C2,noun
babble,C2,verb
bauble,C2,noun
correlate,C2,noun
combustion,C2,noun
painstaking,C2,adjective
painstakingly,C2,adverb
contraption,C2,noun
mesh,C2,verb
enabler,C2,noun
fluctuation,C2,noun
lyricist,C2,noun
lyrical,C2,adjective
lyrically,C2,adverb
bona fide,C2,adjective
moribund,C2,adjective
perch,C2,verb
perch,C2,noun
solicit,C2,verb
philanthropy,C2,noun
philanthropist,C2,noun
philanthropic,C2,adjective
philanthropically,C2,adverb
precocious,C2,adjective
precociously,C2,adverb
wordsmith,C2,noun
connote,C2,verb
connotation,C2,noun
herald,C2,verb
herald,C2,noun
philistine,C2,noun
innuendo,C2,noun
inducement,C2,noun
anthology,C2,noun
lament,C2,verb
lamentation,C2,noun
conduit,C2,noun
chronology,C2,noun
chronologically,C2,adverb
equilibrium,C2,noun
rebound,C2,verb
rebound,C2,noun
flagging,C2,adjective
electrode,C2,noun
caffeinate,C2,verb
cosmic,C2,adjective
interlude,C2,noun
recuperate,C2,verb
recuperation,C2,noun
recuperative,C2,adjective
cultish,C2,adjective
seismic,C2,adjective
irrevocably,C2,adverb
irrevocable,C2,adjective
slither,C2,verb
unnerve,C2,verb
unnerving,C2,adjective
unnervingly,C2,adverb
protrude,C2,verb
protrusion,C2,noun
qualitative,C2,adjective
procedural,C2,adjective
procedural,C2,noun
demystify,C2,verb
demystification,C2,noun
proprietary,C2,adjective
proprietorial,C2,adjective
floodgates,C2,noun
imperceptible,C2,adjective
imperceptibly,C2,adverb
hapless,C2,adjective
catastrophically,C2,adverb
wayward,C2,adjective
blurb,C2,noun
indolent,C2,adjective
indolently,C2,adverb
indolence,C2,noun
taste-maker,C2,noun
deviant,C2,noun
deviant,C2,adjective
deviantly,C2,adverb
