,ud_word,ud_word_level,ud_word_pos
0,accent,B2,noun
1,accommodate,B2,verb
2,accountant,B2,noun
3,accuracy,B2,noun
4,acid,B2,noun
5,activate,B2,verb
6,addiction,B2,noun
7,adjust,B2,verb
8,AIDS,B2,noun
9,alongside,B2,preposition
10,ambulance,B2,noun
11,ancestor,B2,noun
12,animation,B2,noun
13,anxiety,B2,noun
14,apology,B2,noun
15,applicant,B2,noun
16,arrow,B2,noun
17,artwork,B2,noun
18,assumption,B2,noun
19,attachment,B2,noun
20,auction,B2,noun
21,audio,B2,adjective
22,ballet,B2,noun
23,bargain,B2,noun
24,basement,B2,noun
25,basket,B2,noun
26,bat,B2,noun
27,booking,B2,noun
28,brick,B2,noun
29,broadcaster,B2,noun
30,cabin,B2,noun
31,canal,B2,noun
32,candle,B2,noun
33,carbon,B2,noun
34,cave,B2,noun
35,certificate,B2,noun
36,championship,B2,noun
37,cheek,B2,noun
38,clarify,B2,verb
39,cliff,B2,noun
40,clinic,B2,noun
41,clip,B2,noun
42,coincidence,B2,noun
43,collector,B2,noun
44,compound,B2,noun
45,conspiracy,B2,noun
46,cue,B2,noun
47,cute,B2,adjective
48,derive,B2,verb
49,ethic,B2,noun
50,failed,B2,adjective
51,federal,B2,adjective
52,forum,B2,noun
53,fossil,B2,noun
54,fragment,B2,noun
55,gig,B2,noun
56,governor,B2,noun
57,graphic,B2,adjective
58,greenhouse,B2,noun
59,highway,B2,noun
60,info,B2,noun
61,isolate,B2,verb
62,lens,B2,noun
63,lyric,B2,noun
64,making,B2,noun
65,marker,B2,noun
66,martial,B2,adjective
67,mortgage,B2,noun
68,navigation,B2,noun
69,nursing,B2,adjective
70,outfit,B2,noun
71,placement,B2,noun
72,prompt,B2,verb
73,publishing,B2,noun
74,punk,B2,noun
75,reporting,B2,noun
76,screening,B2,noun
77,seeker,B2,noun
78,settler,B2,noun
79,shaped,B2,adjective
80,sometime,B2,adverb
81,spokeswoman,B2,noun
82,super,B2,adjective
83,teens,B2,noun
84,tonne,B2,noun
85,trading,B2,noun
86,troop,B2,noun
87,warming,B2,noun
88,abortion,C1,noun
89,abundance,C1,noun
90,academy,C1,noun
91,accomplishment,C1,noun
92,accordance,C1,noun
93,accountability,C1,noun
94,accumulation,C1,noun
95,accusation,C1,noun
96,accused,C1,noun
97,acid,C1,adjective
98,acquisition,C1,noun
99,acre,C1,noun
100,activation,C1,noun
101,acute,C1,adjective
102,adaptation,C1,noun
103,adjustment,C1,noun
104,administer,C1,verb
105,administrator,C1,noun
106,admission,C1,noun
107,adoption,C1,noun
108,adverse,C1,adjective
109,aesthetic,C1,adjective
110,affection,C1,noun
111,aftermath,C1,noun
112,aggression,C1,noun
113,agricultural,C1,adjective
114,aide,C1,noun
115,albeit,C1,conjunction
116,alien,C1,adjective
117,alignment,C1,noun
